DeviceId,IndividualAddress,Device,ChannelOrDomain,OutputOrObject,ProjectGroupName,DPT,PhysicalDomain,EvidenceLevel
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,6,Relay 6,On/Off 22,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,7,Relay 7,On/Off 23,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,8,Relay 8,On/Off 24,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,9,Relay 9,On/Off 25,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,10,Relay 10,On/Off 26,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,11,Relay 11,On/Off 27,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,12,Relay 12,On/Off 28,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,13,Relay 13,On/Off 29,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,14,Relay 14,On/Off 30,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,15,Relay 15,On/Off 31,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-16,6,MAXinBOX 16 v4 — 16 relay outputs,16,Relay 16,On/Off 32,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,1,Relay 1,On/Off 17,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,2,Relay 2,On/Off 18,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,3,Relay 3,On/Off 19,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,4,Relay 4,On/Off 20,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,5,Relay 5,On/Off 21,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,6,Relay 6,On/Off 22,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,7,Relay 7,On/Off 23,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,8,Relay 8,On/Off 24,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,9,Relay 9,On/Off 25,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,10,Relay 10,On/Off 26,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,11,Relay 11,On/Off 27,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,12,Relay 12,On/Off 28,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,13,Relay 13,On/Off 29,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,14,Relay 14,On/Off 30,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,15,Relay 15,On/Off 31,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-17,7,MAXinBOX 16 v4 — 16 relay outputs,16,Relay 16,On/Off 32,,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,1,Relay 1,On/Off 49,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,2,Relay 2,On/Off 50,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,3,Relay 3,On/Off 51,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,4,Relay 4,On/Off 52,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,5,Relay 5,On/Off 53,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,6,Relay 6,On/Off 54,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,7,Relay 7,On/Off 55,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,8,Relay 8,On/Off 56,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,9,Relay 9,On/Off 57,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,10,Relay 10,On/Off 58,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,11,Relay 11,On/Off 59,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,12,Relay 12,On/Off 60,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,13,Relay 13,On/Off 61,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,14,Relay 14,On/Off 62,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,15,Relay 15,On/Off 63,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,16,Relay 16,On/Off 64,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,17,Relay 17,On/Off 65,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,18,Relay 18,On/Off 66,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,19,Relay 19,On/Off 67,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,20,Relay 20,On/Off 68,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,21,Relay 21,On/Off 69,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,22,Relay 22,On/Off 70,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,23,Relay 23,On/Off 71,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-18,8,MAXinBOX 24 v2 — 24 relay outputs,24,Relay 24,On/Off 72,DPST-1-6,Lighting output,Sequential GA mapping; verify terminal assignment on electrical schedule
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,1,Shutter channel 1,1 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,2,Shutter channel 2,2 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,3,Shutter channel 3,3 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,4,Shutter channel 4,4 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,5,Shutter channel 5,5 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,6,Shutter channel 6,6 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,7,Shutter channel 7,7 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-19,9,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,8,Shutter channel 8,8 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,1,Shutter channel 1,9 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,2,Shutter channel 2,10 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,3,Shutter channel 3,11 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,4,Shutter channel 4,12 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,5,Shutter channel 5,13 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,6,Shutter channel 6,14 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,7,Shutter channel 7,15 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-20,10,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,8,Shutter channel 8,16 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,1,Shutter channel 1,17 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,2,Shutter channel 2,18 Move,DPST-1-8,Blind/shutter motor,GA sequence mapping; verify physical motor wiring
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,3,Shutter channel 3,19 Move,,Blind/shutter motor,Channel range follows GA naming; channels 3-8 on address 11 have no linked GAs
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,4,Shutter channel 4,20 Move,,Blind/shutter motor,Channel range follows GA naming; channels 3-8 on address 11 have no linked GAs
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,5,Shutter channel 5,21 Move,,Blind/shutter motor,Channel range follows GA naming; channels 3-8 on address 11 have no linked GAs
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,6,Shutter channel 6,22 Move,,Blind/shutter motor,Channel range follows GA naming; channels 3-8 on address 11 have no linked GAs
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,7,Shutter channel 7,23 Move,,Blind/shutter motor,Channel range follows GA naming; channels 3-8 on address 11 have no linked GAs
P-07BC-0_DI-21,11,MAXinBOX SHUTTER 8CH v3 — 8 shutter channels,8,Shutter channel 8,24 Move,,Blind/shutter motor,Channel range follows GA naming; channels 3-8 on address 11 have no linked GAs
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Temp.,DPST-7-7,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Mode,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Mode Info,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Set Point,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Set Point Info,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Fan Info,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Fan,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 ON/Off,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 ON/Off Info,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-22,12,Logic controller (project exposes HVAC blocks),1,HVAC logical block 1,1 Error Code,DPST-16-0,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Temp.,DPST-7-7,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Mode,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Mode Info,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Set Point,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Set Point Info,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Fan Info,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Fan,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 ON/Off,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 ON/Off Info,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-24,13,Logic controller (project exposes HVAC blocks),2,HVAC logical block 2,2 Error Code,DPST-16-0,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Temp.,DPST-7-7,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Mode,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Mode Info,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Set Point,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Set Point Info,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Fan Info,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Fan,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 ON/Off,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 ON/Off Info,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-25,14,Logic controller (project exposes HVAC blocks),3,HVAC logical block 3,3 Error Code,DPST-16-0,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Temp.,DPST-7-7,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Mode,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Mode Info,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Set Point,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Set Point Info,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Fan Info,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Fan,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 ON/Off,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 ON/Off Info,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-26,15,Logic controller (project exposes HVAC blocks),4,HVAC logical block 4,4 Error Code,DPST-16-0,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Temp.,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Mode,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Mode Info,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Set Point,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Set Point Info,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Fan Info,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Fan,DPST-5-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 ON/Off,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 ON/Off Info,DPST-1-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-27,16,Logic controller (project exposes HVAC blocks),5,HVAC logical block 5,5 Error Code,DPST-16-0,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-28,17,Logic controller (project exposes HVAC blocks),6,HVAC logical block 6,6 Temp.,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-28,17,Logic controller (project exposes HVAC blocks),6,HVAC logical block 6,6 Mode,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-28,17,Logic controller (project exposes HVAC blocks),6,HVAC logical block 6,6 Mode Info,DPST-20-105,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-28,17,Logic controller (project exposes HVAC blocks),6,HVAC logical block 6,6 Set Point,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
P-07BC-0_DI-28,17,Logic controller (project exposes HVAC blocks),6,HVAC logical block 6,6 Set Point Info,DPST-9-1,HVAC logic,Logical/software function from project; not a physical HVAC power output
